« division|jornada|fecha|hora|local|visita|golesLocal|golesVisita|estadio
Tercera B Norte|15|||Municipal Ovalle|Curacaví FC|||
Tercera B Norte|15|||Unión Compañías|Julio Covarrubias|||
Tercera B Norte|15|||Jardín del Edén|CEFF Copiapó|||
Tercera B Norte|16|2026-07-25|20:00|Municipal Mejillones|Jardín del Edén|2|0|Municipal de Mejillones
Tercera B Norte|16|||CEFF Copiapó|Unión Compañías|||
Tercera B Norte|16|||Julio Covarrubias|Municipal Ovalle|||
Tercera B Norte|16|||Curacaví FC|Provincial Talagante|||
Tercera B Norte|16|||Unión Glorias Navales|Audax Paipote|||
Tercera B Norte|16|||Cultural Maipú|Deportes Ovalle|||
Tercera B Norte|16|||Tricolor de Paine|Deportes Vallenar|||
Tercera B Norte|17|||Tricolor de Paine|Municipal Mejillones|||
Tercera B Norte|17|||Deportes Vallenar|Cultural Maipú|||
Tercera B Norte|17|||Deportes Ovalle|Unión Glorias Navales|||
Tercera B Norte|17|||Audax Paipote|Curacaví FC|||
Tercera B Norte|17|||Provincial Talagante|Julio Covarrubias|||
Tercera B Norte|17|||Municipal Ovalle|CEFF Copiapó|||
Tercera B Norte|17|||Unión Compañías|Jardín del Edén|||
Tercera B Norte|18|||Municipal Mejillones|Unión Compañías|||
Tercera B Norte|18|2026-08-09|17:00|Jardín del Edén|Municipal Ovalle|0|0|Bicentenario de La Florida
Tercera B Norte|18|2026-08-08|20:00|CEFF Copiapó|Provincial Talagante|3|3|Luis Valenzuela Hermosilla
Tercera B Norte|18|2026-08-08|16:00|Julio Covarrubias|Audax Paipote|0|2|Los Jardines
Tercera B Norte|18|2026-08-08|12:00|Curacaví FC|Deportes Ovalle|0|0|Olímpico de Cuyuncaví
Tercera B Norte|18|2026-08-09|12:00|Unión Glorias Navales|Deportes Vallenar|3|2|Sausalito
Tercera B Norte|18|2026-08-08|18:00|Cultural Maipú|Tricolor de Paine|||Santiago Bueras
Tercera B Norte|19|2026-08-12|20:00|Municipal Mejillones|Cultural Maipú|2|2|Municipal de Mejillones
Tercera B Norte|19|2026-08-12|16:00|Tricolor de Paine|Unión Glorias Navales|3|2|Municipal de Paine
Tercera B Norte|19|2026-08-12|19:00|Deportes Vallenar|Curacaví FC|||Nelson Rojas
Tercera B Norte|19|2026-08-12|14:00|Deportes Ovalle|Julio Covarrubias|3|4|Municipal de Punitaqui
Tercera B Norte|19|2026-08-12|20:00|Audax Paipote|CEFF Copiapó|2|2|Luis Valenzuela Hermosilla
Tercera B Norte|19|2026-08-12|20:00|Provincial Talagante|Jardín del Edén|3|0|Lucas Pacheco
Tercera B Norte|19|2026-08-12|18:00|Municipal Ovalle|Unión Compañías|1|1|Diaguitas
Tercera B Norte|20|2026-08-15|20:00|Municipal Mejillones|Municipal Ovalle|4|1|Municipal de Mejillones
Tercera B Norte|20|2026-08-15|19:00|Unión Compañías|Provincial Talagante|0|1|Municipal de Tierras Blancas
Tercera B Norte|20|2026-08-15|12:00|Jardín del Edén|Audax Paipote|1|1|Bernardo O'Higgins
Tercera B Norte|20|2026-08-15|20:00|CEFF Copiapó|Deportes Ovalle|2|3|Luis Valenzuela Hermosilla
Tercera B Norte|20|2026-08-15|16:00|Julio Covarrubias|Deportes Vallenar|6|4|Los Jardines
Tercera B Norte|20|2026-08-15|12:00|Curacaví FC|Tricolor de Paine|||Olímpico de Cuyuncaví
Tercera B Norte|20|2026-08-16|15:00|Unión Glorias Navales|Cultural Maipú|||Complejo Gómez Carreño
Tercera B Norte|21|2026-08-22|12:00|Unión Glorias Navales|Municipal Mejillones|1|4|Sausalito
Tercera B Norte|21|2026-08-22|18:30|Cultural Maipú|Curacaví FC|3|2|Santiago Bueras
Tercera B Norte|21|2026-08-22|16:00|Tricolor de Paine|Julio Covarrubias|1|4|Municipal de Paine
Tercera B Norte|21|2026-08-22|17:00|Deportes Vallenar|CEFF Copiapó|1|1|Nelson Rojas
Tercera B Norte|21|2026-08-23|12:00|Deportes Ovalle|Jardín del Edén|2|0|Diaguitas
Tercera B Norte|21|2026-08-22|20:30|Audax Paipote|Unión Compañías|7|0|Luis Valenzuela Hermosilla
Tercera B Norte|21|2026-08-22|19:00|Provincial Talagante|Municipal Ovalle|4|1|Lucas Pacheco
Tercera B Norte|22|||Municipal Mejillones|Provincial Talagante|||
Tercera B Norte|22|||Municipal Ovalle|Audax Paipote|||
Tercera B Norte|22|||Unión Compañías|Deportes Ovalle|||
Tercera B Norte|22|||Jardín del Edén|Deportes Vallenar|||
Tercera B Norte|22|||CEFF Copiapó|Tricolor de Paine|||
Tercera B Norte|22|||Julio Covarrubias|Cultural Maipú|||
Tercera B Norte|22|||Curacaví FC|Unión Glorias Navales|||
Tercera B Norte|23|||Curacaví FC|Municipal Mejillones|||
Tercera B Norte|23|||Unión Glorias Navales|Julio Covarrubias|||
Tercera B Norte|23|||Cultural Maipú|CEFF Copiapó|||
Tercera B Norte|23|||Tricolor de Paine|Jardín del Edén|||
Tercera B Norte|23|||Deportes Vallenar|Unión Compañías|||
Tercera B Norte|23|||Deportes Ovalle|Municipal Ovalle|||
Tercera B Norte|23|||Audax Paipote|Provincial Talagante|||
Tercera B Norte|24|||Municipal Mejillones|Audax Paipote|||
Tercera B Norte|24|||Provincial Talagante|Deportes Ovalle|||
Tercera B Norte|24|||Municipal Ovalle|Deportes Vallenar|||
Tercera B Norte|24|||Unión Compañías|Tricolor de Paine|||
Tercera B Norte|24|||Jardín del Edén|Cultural Maipú|||
Tercera B Norte|24|||CEFF Copiapó|Unión Glorias Navales|||
Tercera B Norte|24|||Julio Covarrubias|Curacaví FC|||
Tercera B Norte|25|||Julio Covarrubias|Municipal Mejillones|||
Tercera B Norte|25|||Curacaví FC|CEFF Copiapó|||
Tercera B Norte|25|||Unión Glorias Navales|Jardín del Edén|||
Tercera B Norte|25|||Cultural Maipú|Unión Compañías|||
Tercera B Norte|25|||Tricolor de Paine|Municipal Ovalle|||
Tercera B Norte|25|||Deportes Vallenar|Provincial Talagante|||
Tercera B Norte|25|||Deportes Ovalle|Audax Paipote|||
Tercera B Norte|26|||Municipal Mejillones|Deportes Ovalle|||
Tercera B Norte|26|||Audax Paipote|Deportes Vallenar|||
Tercera B Norte|26|||Provincial Talagante|Tricolor de Paine|||
Tercera B Norte|26|||Municipal Ovalle|Cultural Maipú|||
Tercera B Norte|26|||Unión Compañías|Unión Glorias Navales|||
Tercera B Norte|26|||Jardín del Edén|Curacaví FC|||
Tercera B Norte|26|||CEFF Copiapó|Julio Covarrubias|||
Tercera B Sur|1|2026-04-19|15:30|Fernández Vial|CDSC Iberia|2|0|Ester Roa Rebolledo
Tercera B Sur|1|2026-04-18|16:00|Inter Concepción|Gasparín FC|2|1|Municipal de La Florida
Tercera B Sur|1|2026-04-18|15:30|Laja Histórico|Rep Ind de Hualqui|5|1|Facela
Tercera B Sur|1|2026-04-18|16:00|Conchalí EFC|Deportivo Pumanque|1|0|Municipal de Conchalí
Tercera B Sur|1|2026-04-18|17:00|Vicente Pérez Rosales|Deportes Hualpén|8|1|Chinquihue
Tercera B Sur|1|2026-04-18|16:00|Municipal Paillaco|Nacimiento|2|0|Municipal de Paillaco
Tercera B Sur|1|2026-04-19|16:00|Buenos Aires|Deportes Valdivia|0|1|Nelson Valenzuela
Tercera B Sur|2|2026-04-25|19:30|CDSC Iberia|Deportes Valdivia|2|2|Municipal de Los Ángeles
Tercera B Sur|2|2026-04-25|12:00|Nacimiento|Buenos Aires|0|3|Coinac
Tercera B Sur|2|2026-04-26|17:00|Deportes Hualpén|Municipal Paillaco|2|3|Las Golondrinas
Tercera B Sur|2|2026-04-25|16:00|Deportivo Pumanque|Vicente Pérez Rosales|2|2|Municipal de Pumanque
Tercera B Sur|2|2026-04-26|15:00|Rep Ind de Hualqui|Conchalí EFC|4|0|Municipal de Hualqui
Tercera B Sur|2|2026-04-26|15:30|Gasparín FC|Laja Histórico|1|2|Municipal Lo Blanco
Tercera B Sur|2|2026-04-24|19:00|Fernández Vial|Inter Concepción|3|2|Ester Roa Rebolledo
Tercera B Sur|3|2026-05-01|16:00|Inter Concepción|CDSC Iberia|5|1|Municipal de La Florida
Tercera B Sur|3|2026-05-02|15:30|Laja Histórico|Fernández Vial|2|1|Facela
Tercera B Sur|3|2026-05-03|16:00|Conchalí EFC|Gasparín FC|1|2|Municipal de Conchalí
Tercera B Sur|3|2026-05-02|19:30|Vicente Pérez Rosales|Rep Ind de Hualqui|1|1|Chinquihue
Tercera B Sur|3|2026-05-02|16:00|Municipal Paillaco|Deportivo Pumanque|2|1|Municipal de Paillaco
Tercera B Sur|3|2026-05-03|12:00|Buenos Aires|Deportes Hualpén|4|0|Nelson Valenzuela
Tercera B Sur|3|2026-05-02|19:00|Deportes Valdivia|Nacimiento|2|0|Félix Gallardo
Tercera B Sur|4|2026-05-09|17:30|CDSC Iberia|Nacimiento|3|1|Municipal de Los Ángeles
Tercera B Sur|4|2026-05-10|17:00|Deportes Hualpén|Deportes Valdivia|1|7|Las Golondrinas
Tercera B Sur|4|2026-05-09|16:00|Deportivo Pumanque|Buenos Aires|0|4|Municipal de Pumanque
Tercera B Sur|4|2026-05-09|12:00|Rep Ind de Hualqui|Municipal Paillaco|2|2|Municipal de Hualqui
Tercera B Sur|4|2026-05-10|15:30|Gasparín FC|Vicente Pérez Rosales|0|2|Municipal Lo Blanco
Tercera B Sur|4|2026-05-10|15:30|Fernández Vial|Conchalí EFC|5|1|Ester Roa Rebolledo
Tercera B Sur|4|2026-05-09|16:00|Inter Concepción|Laja Histórico|2|1|Municipal de La Florida
Tercera B Sur|5|2026-05-16|15:30|Laja Histórico|CDSC Iberia|2|0|Facela
Tercera B Sur|5|2026-05-16|16:00|Conchalí EFC|Inter Concepción|2|6|Municipal de Conchalí
Tercera B Sur|5|2026-05-16|17:00|Vicente Pérez Rosales|Fernández Vial|3|1|Chinquihue
Tercera B Sur|5|2026-05-16|12:00|Municipal Paillaco|Gasparín FC|0|2|Municipal de Paillaco
Tercera B Sur|5|2026-05-16|15:00|Buenos Aires|Rep Ind de Hualqui|3|2|Nelson Valenzuela
Tercera B Sur|5|2026-05-16|19:00|Deportes Valdivia|Deportivo Pumanque|0|0|Félix Gallardo
Tercera B Sur|5|2026-05-16|12:00|Nacimiento|Deportes Hualpén|5|1|Coinac
Tercera B Sur|6|2026-05-20|19:30|CDSC Iberia|Deportes Hualpén|3|1|Municipal de Los Ángeles
Tercera B Sur|6|2026-05-20|20:00|Deportivo Pumanque|Nacimiento|1|2|Municipal de Pumanque
Tercera B Sur|6|2026-05-20|12:00|Rep Ind de Hualqui|Deportes Valdivia|1|3|Municipal de Hualqui
Tercera B Sur|6|2026-05-20|12:00|Gasparín FC|Buenos Aires|0|1|Municipal Lo Blanco
Tercera B Sur|6|2026-05-20|19:30|Fernández Vial|Municipal Paillaco|1|1|Ester Roa Rebolledo
Tercera B Sur|6|2026-05-20|19:00|Inter Concepción|Vicente Pérez Rosales|1|2|Municipal de La Florida
Tercera B Sur|6|2026-05-20|15:30|Laja Histórico|Conchalí EFC|6|0|Facela
Tercera B Sur|7|2026-05-23|16:00|Conchalí EFC|CDSC Iberia|3|1|Municipal de Conchalí
Tercera B Sur|7|2026-05-23|20:00|Vicente Pérez Rosales|Laja Histórico|1|1|Chinquihue
Tercera B Sur|7|2026-05-23|16:00|Municipal Paillaco|Inter Concepción|2|1|Municipal de Paillaco
Tercera B Sur|7|2026-05-24|12:00|Buenos Aires|Fernández Vial|3|0|Nelson Valenzuela
Tercera B Sur|7|2026-05-23|19:00|Deportes Valdivia|Gasparín FC|3|0|Félix Gallardo
Tercera B Sur|7|2026-05-23|15:30|Nacimiento|Rep Ind de Hualqui|3|4|Coinac
Tercera B Sur|7|2026-05-24|18:00|Deportes Hualpén|Deportivo Pumanque|1|1|Las Golondrinas
Tercera B Sur|8|2026-05-30|17:30|CDSC Iberia|Deportivo Pumanque|2|0|Municipal de Los Ángeles
Tercera B Sur|8|2026-05-31|15:00|Rep Ind de Hualqui|Deportes Hualpén|6|1|Municipal de Hualqui
Tercera B Sur|8|2026-05-31|15:00|Gasparín FC|Nacimiento|1|0|Municipal Lo Blanco
Tercera B Sur|8|2026-05-31|15:30|Fernández Vial|Deportes Valdivia|1|1|Ester Roa Rebolledo
Tercera B Sur|8|2026-05-30|17:00|Inter Concepción|Buenos Aires|0|1|Municipal de La Florida
Tercera B Sur|8|2026-05-30|15:30|Laja Histórico|Municipal Paillaco|3|1|Facela
Tercera B Sur|8|2026-05-30|16:00|Conchalí EFC|Vicente Pérez Rosales|3|3|Municipal de Conchalí
Tercera B Sur|9|2026-06-07|17:00|Vicente Pérez Rosales|CDSC Iberia|0|1|Chinquihue
Tercera B Sur|9|2026-06-06|15:00|Municipal Paillaco|Conchalí EFC|2|1|Municipal de Paillaco
Tercera B Sur|9|2026-06-07|12:00|Buenos Aires|Laja Histórico|1|0|Nelson Valenzuela
Tercera B Sur|9|2026-06-06|16:00|Deportes Valdivia|Inter Concepción|2|1|Félix Gallardo
Tercera B Sur|9|2026-06-06|12:00|Nacimiento|Fernández Vial|2|4|Coinac
Tercera B Sur|9|2026-06-07|17:00|Deportes Hualpén|Gasparín FC|1|5|Las Golondrinas
Tercera B Sur|9|2026-06-06|12:00|Deportivo Pumanque|Rep Ind de Hualqui|1|2|Municipal de Pumanque
Tercera B Sur|10|2026-06-12|19:30|CDSC Iberia|Rep Ind de Hualqui|3|0|Municipal de Los Ángeles
Tercera B Sur|10|2026-06-14|15:00|Gasparín FC|Deportivo Pumanque|4|0|Municipal Lo Blanco
Tercera B Sur|10|2026-06-13|18:00|Fernández Vial|Deportes Hualpén|3|0|Ester Roa Rebolledo
Tercera B Sur|10|2026-06-12|19:00|Inter Concepción|Nacimiento|2|1|Municipal de La Florida
Tercera B Sur|10|2026-06-13|15:30|Laja Histórico|Deportes Valdivia|4|0|Facela
Tercera B Sur|10|2026-06-13|16:00|Conchalí EFC|Buenos Aires|0|4|Municipal de Conchalí
Tercera B Sur|10|2026-06-13|17:00|Vicente Pérez Rosales|Municipal Paillaco|3|2|Chinquihue
Tercera B Sur|11|2026-06-20|15:00|Municipal Paillaco|CDSC Iberia|2|2|Municipal de Paillaco
Tercera B Sur|11|2026-06-21|12:00|Buenos Aires|Vicente Pérez Rosales|2|1|Nelson Valenzuela
Tercera B Sur|11|2026-06-20|16:00|Deportes Valdivia|Conchalí EFC|8|1|Félix Gallardo
Tercera B Sur|11|2026-06-20|15:00|Nacimiento|Laja Histórico|1|1|Coinac
Tercera B Sur|11|2026-06-20|12:00|Inter Concepción|Deportes Hualpén|5|1|Municipal de La Florida
Tercera B Sur|11|2026-06-21|15:30|Deportivo Pumanque|Fernández Vial|0|5|Municipal de Pumanque
Tercera B Sur|11|2026-06-20|15:00|Rep Ind de Hualqui|Gasparín FC|3|1|Municipal de Hualqui
Tercera B Sur|12|2026-06-28|15:00|CDSC Iberia|Gasparín FC|2|1|Municipal de Los Ángeles
Tercera B Sur|12|2026-06-28|12:00|Fernández Vial|Rep Ind de Hualqui|3|2|El Morro
Tercera B Sur|12|2026-06-27|12:00|Inter Concepción|Deportivo Pumanque|1|2|Municipal de La Florida
Tercera B Sur|12|2026-06-27|15:30|Laja Histórico|Deportes Hualpén|7|1|Facela
Tercera B Sur|12|2026-06-27|16:00|Conchalí EFC|Nacimiento|2|2|Municipal de Conchalí
Tercera B Sur|12|2026-06-27|17:00|Vicente Pérez Rosales|Deportes Valdivia|1|2|Chinquihue
Tercera B Sur|12|2026-06-27|15:00|Municipal Paillaco|Buenos Aires|0|1|Municipal de Paillaco
Tercera B Sur|13|2026-07-05|15:00|Buenos Aires|CDSC Iberia|1|0|Nelson Valenzuela
Tercera B Sur|13|2026-07-04|15:00|Deportes Valdivia|Municipal Paillaco|4|2|Félix Gallardo
Tercera B Sur|13|2026-07-04|12:00|Nacimiento|Vicente Pérez Rosales|0|2|Coinac
Tercera B Sur|13|2026-07-05|15:30|Deportes Hualpén|Conchalí EFC|0|4|Las Golondrinas
Tercera B Sur|13|2026-07-03|19:30|Deportivo Pumanque|Laja Histórico|2|6|Municipal de Pumanque
Tercera B Sur|13|2026-07-05|15:00|Rep Ind de Hualqui|Inter Concepción|0|2|Municipal de Hualqui
Tercera B Sur|13|2026-07-04|12:00|Gasparín FC|Fernández Vial|1|2|Municipal Lo Blanco
Tercera B Sur|14|2026-07-12|16:30|CDSC Iberia|Fernández Vial|0|2|Municipal de Los Ángeles
Tercera B Sur|14|2026-07-12|15:00|Gasparín FC|Inter Concepción|1|1|Municipal Lo Blanco
Tercera B Sur|14|2026-07-12|15:00|Rep Ind de Hualqui|Laja Histórico|2|4|Municipal de Hualqui
Tercera B Sur|14|2026-07-11|12:00|Deportivo Pumanque|Conchalí EFC|4|1|Municipal de Pumanque
Tercera B Sur|14|2026-07-11|12:00|Deportes Hualpén|Vicente Pérez Rosales|0|6|Las Golondrinas
Tercera B Sur|14|2026-07-11|12:00|Nacimiento|Municipal Paillaco|4|1|Coinac
Tercera B Sur|14|2026-07-11|15:00|Deportes Valdivia|Buenos Aires|4|4|Félix Gallardo
Tercera B Sur|15|||Deportes Valdivia|CDSC Iberia|||
Tercera B Sur|15|||Buenos Aires|Nacimiento|||
Tercera B Sur|15|||Municipal Paillaco|Deportes Hualpén|||
Tercera B Sur|15|||Vicente Pérez Rosales|Deportivo Pumanque|||
Tercera B Sur|15|||Conchalí EFC|Rep Ind de Hualqui|||
Tercera B Sur|15|||Laja Histórico|Gasparín FC|||
Tercera B Sur|15|||Inter Concepción|Fernández Vial|||
Tercera B Sur|16|2026-07-25|18:00|CDSC Iberia|Inter Concepción|1|0|Municipal de Los Ángeles
Tercera B Sur|16|2026-07-26|15:00|Fernández Vial|Laja Histórico|1|1|El Morro
Tercera B Sur|16|2026-07-25|12:00|Gasparín FC|Conchalí EFC|1|0|Municipal Lo Blanco
Tercera B Sur|16|2026-07-25|15:00|Rep Ind de Hualqui|Vicente Pérez Rosales|0|3|Municipal de Hualqui
Tercera B Sur|16|2026-07-25|12:00|Deportivo Pumanque|Municipal Paillaco|6|3|Municipal de Pumanque
Tercera B Sur|16|2026-07-26|15:30|Deportes Hualpén|Buenos Aires|0|2|Las Golondrinas
Tercera B Sur|16|2026-07-25|12:00|Nacimiento|Deportes Valdivia|3|2|Coinac
Tercera B Sur|17|2026-08-01|12:00|Nacimiento|CDSC Iberia|3|1|Coinac
Tercera B Sur|17|2026-08-01|15:00|Deportes Valdivia|Deportes Hualpén|10|0|Félix Gallardo
Tercera B Sur|17|2026-08-01|15:00|Buenos Aires|Deportivo Pumanque|||Miguel Alarcón Osores
Tercera B Sur|17|2026-08-01|15:00|Municipal Paillaco|Rep Ind de Hualqui|6|1|Municipal de Paillaco
Tercera B Sur|17|2026-08-01|15:00|Vicente Pérez Rosales|Gasparín FC|2|2|Chinquihue
Tercera B Sur|17|2026-08-02|16:00|Conchalí EFC|Fernández Vial|1|2|Municipal de Conchalí
Tercera B Sur|17|2026-08-01|15:30|Laja Histórico|Inter Concepción|||Facela
Tercera B Sur|18|2026-08-09|17:00|CDSC Iberia|Laja Histórico|2|1|Municipal de Los Ángeles
Tercera B Sur|18|2026-08-08|12:00|Inter Concepción|Conchalí EFC|4|1|Municipal de La Florida
Tercera B Sur|18|2026-08-09|12:00|Fernández Vial|Vicente Pérez Rosales|1|1|Municipal de Santa Juana
Tercera B Sur|18|2026-08-09|15:00|Gasparín FC|Municipal Paillaco|1|1|Municipal Lo Blanco
Tercera B Sur|18|2026-08-09|15:00|Rep Ind de Hualqui|Buenos Aires|0|5|Municipal de Hualqui
Tercera B Sur|18|2026-08-08|12:00|Deportivo Pumanque|Deportes Valdivia|5|2|Municipal de Pumanque
Tercera B Sur|18|2026-08-09|15:30|Deportes Hualpén|Nacimiento|0|6|Las Golondrinas
Tercera B Sur|19|2026-08-12|15:00|Deportes Hualpén|CDSC Iberia|0|5|Las Golondrinas
Tercera B Sur|19|2026-08-12|12:00|Nacimiento|Deportivo Pumanque|4|1|Coinac
Tercera B Sur|19|2026-08-12|19:00|Deportes Valdivia|Rep Ind de Hualqui|2|0|Félix Gallardo
Tercera B Sur|19|2026-08-12|12:00|Buenos Aires|Gasparín FC|1|0|Nelson Valenzuela
Tercera B Sur|19|2026-08-12|19:30|Municipal Paillaco|Fernández Vial|3|3|Municipal de Paillaco
Tercera B Sur|19|2026-08-12|20:00|Vicente Pérez Rosales|Inter Concepción|1|1|Chinquihue
Tercera B Sur|19|2026-08-12|12:00|Conchalí EFC|Laja Histórico|1|4|Municipal de Conchalí
Tercera B Sur|20|2026-08-16|17:00|CDSC Iberia|Conchalí EFC|2|0|Municipal de Los Ángeles
Tercera B Sur|20|2026-08-15|15:30|Laja Histórico|Vicente Pérez Rosales|3|0|Facela
Tercera B Sur|20|2026-08-15|12:00|Inter Concepción|Municipal Paillaco|4|1|Municipal de La Florida
Tercera B Sur|20|2026-08-15|15:30|Fernández Vial|Buenos Aires|1|2|El Morro
Tercera B Sur|20|2026-08-16|15:00|Gasparín FC|Deportes Valdivia|6|0|Municipal Lo Blanco
Tercera B Sur|20|2026-08-16|15:30|Rep Ind de Hualqui|Nacimiento|1|1|Municipal de Hualqui
Tercera B Sur|20|2026-08-15|12:00|Deportivo Pumanque|Deportes Hualpén|4|1|Municipal de Bucalemu
Tercera B Sur|21|2026-08-22|12:00|Deportivo Pumanque|CDSC Iberia|1|3|Municipal Nilahue Cornejo
Tercera B Sur|21|2026-08-23|15:00|Deportes Hualpén|Rep Ind de Hualqui|1|6|Las Golondrinas
Tercera B Sur|21|2026-08-22|12:00|Nacimiento|Gasparín FC|1|2|Coinac
Tercera B Sur|21|2026-08-22|16:00|Deportes Valdivia|Fernández Vial|5|2|Félix Gallardo
Tercera B Sur|21|2026-08-23|12:00|Buenos Aires|Inter Concepción|3|1|Nelson Valenzuela
Tercera B Sur|21|2026-08-22|19:30|Municipal Paillaco|Laja Histórico|0|1|Municipal de Paillaco
Tercera B Sur|21|2026-08-23|17:00|Vicente Pérez Rosales|Conchalí EFC|1|1|Chinquihue
Tercera B Sur|22|||CDSC Iberia|Vicente Pérez Rosales|||
Tercera B Sur|22|||Conchalí EFC|Municipal Paillaco|||
Tercera B Sur|22|||Laja Histórico|Buenos Aires|||
Tercera B Sur|22|||Inter Concepción|Deportes Valdivia|||
Tercera B Sur|22|||Fernández Vial|Nacimiento|||
Tercera B Sur|22|||Gasparín FC|Deportes Hualpén|||
Tercera B Sur|22|||Rep Ind de Hualqui|Deportivo Pumanque|||
Tercera B Sur|23|||Rep Ind de Hualqui|CDSC Iberia|||
Tercera B Sur|23|||Deportivo Pumanque|Gasparín FC|||
Tercera B Sur|23|||Deportes Hualpén|Fernández Vial|||
Tercera B Sur|23|||Nacimiento|Inter Concepción|||
Tercera B Sur|23|||Deportes Valdivia|Laja Histórico|||
Tercera B Sur|23|||Buenos Aires|Conchalí EFC|||
Tercera B Sur|23|||Municipal Paillaco|Vicente Pérez Rosales|||
Tercera B Sur|24|||CDSC Iberia|Municipal Paillaco|||
Tercera B Sur|24|||Vicente Pérez Rosales|Buenos Aires|||
Tercera B Sur|24|||Conchalí EFC|Deportes Valdivia|||
Tercera B Sur|24|||Laja Histórico|Nacimiento|||
Tercera B Sur|24|||Inter Concepción|Deportes Hualpén|||
Tercera B Sur|24|||Fernández Vial|Deportivo Pumanque|||
Tercera B Sur|24|||Gasparín FC|Rep Ind de Hualqui|||
Tercera B Sur|25|||Gasparín FC|CDSC Iberia|||
Tercera B Sur|25|||Rep Ind de Hualqui|Fernández Vial|||
Tercera B Sur|25|||Deportivo Pumanque|Inter Concepción|||
Tercera B Sur|25|||Deportes Hualpén|Laja Histórico|||
Tercera B Sur|25|||Nacimiento|Conchalí EFC|||
Tercera B Sur|25|||Deportes Valdivia|Vicente Pérez Rosales|||
Tercera B Sur|25|||Buenos Aires|Municipal Paillaco|||
Tercera B Sur|26|||CDSC Iberia|Buenos Aires|||
Tercera B Sur|26|||Municipal Paillaco|Deportes Valdivia|||
Tercera B Sur|26|||Vicente Pérez Rosales|Nacimiento|||
Tercera B Sur|26|||Conchalí EFC|Deportes Hualpén|||
Tercera B Sur|26|||Laja Histórico|Deportivo Pumanque|||
Tercera B Sur|26|||Inter Concepción|Rep Ind de Hualqui|||
Tercera B Sur|26|||Fernández Vial|Gasparín FC|||
